Number,Spanish Word,Spanish Sentence,English Word,English Sentence
198,esperado,"Como haba esperado, la seora Dursley pareci molesta y enfadada.",[esperado in English],[English translation]
199,esposa,Todava segua decidido a no decirle nada a su esposa.,[esposa in English],[English translation]
200,esquina,Al llegar a la esquina percibi el primer indicio de que suceda algo raro: un gato estaba mirando un plano de la ciudad.,[esquina in English],[English translation]
201,est,Me est halagando dijo con calma Dumbledore.,[est in English],[English translation]
202,estallido,La luz ms cercana de la calle se apag con un leve estallido.,[estallido in English],[English translation]
203,estatua,"Estaba tan inmvil como una estatua, con los ojos fijos, sin pestaear, en la esquina de Privet Drive.",[estatua in English],[English translation]
204,estpido,"Dej el aparato y se atus los bigotes mientras pensaba No, se estaba comportando como un estpido.",[estpido in English],[English translation]
205,estpidos,"Bandadas de lechuzas, estrellas fugaces Bueno, no son totalmente estpidos.",[estpidos in English],[English translation]
206,estrellas,"Telespectadores de lugares tan apartados como Kent, Yorkshire y Dundee han telefoneado para decirme que en lugar de la lluvia que promet ayer tuvieron un chaparrn de estrellas fugaces!",[estrellas in English],[English translation]
207,estrpito,Con un estrpito se elev en el aire y desapareci en la noche.,[estrpito in English],[English translation]
208,evidente,Pero entonces se le ocurri que deba de ser alguna tontera publicitaria; era evidente que aquella gente haca una colecta para algo.,[evidente in English],[English translation]
209,exasperacin,"S que usted no tiene ese problema observ la profesora McGonagall, entre la exasperacin y la admiracin.",[exasperacin in English],[English translation]
210,excitados,"Cuchicheaban entre s, muy excitados.",[excitados in English],[English translation]
211,expertos,Los expertos son incapaces de explicar la causa por la que las lechuzas han cambiado sus horarios de sueo.,[expertos in English],[English translation]
212,explicrselo,Sus tos podrn explicrselo todo cuando sea mayor.,[explicrselo in English],[English translation]
213,extraa,"Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantidad de gente vestida de forma extraa.",[extraa in English],[English translation]
214,extraas,Hay cosas muy extraas en las noticias mascull el seor Dursley.,[extraas in English],[English translation]
215,extrao,"Eran las ltimas personas que se esperara encontrar relacionadas con algo extrao o misterioso, porque no estaban para tales tonteras.",[extrao in English],[English translation]
216,extraordinario,"Sera extraordinario que el mismo da en que Quien-usted-sabe parece haber desaparecido al fin, los muggles lo descubran todo sobre nosotros.",[extraordinario in English],[English translation]
217,extraos,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[extraos in English],[English translation]
218,extraos,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[extraos in English],[English translation]
219,extremo,"Lo hizo funcionar una vez y todas las luces de la calle se encendieron, de manera que Privet Drive se ilumin con un resplandor anaranjado, y pudo ver a un gato atigrado que se escabulla por una esquina, en el otro extremo de la calle.",[extremo in English],[English translation]
220,familia,Son la nica familia que le queda ahora.,[familia in English],[English translation]
221,famoso,Ser famoso una leyenda no me sorprendera que el da de hoy fuera conocido en el futuro como el da de Harry Potter!,[famoso in English],[English translation]
222,felino,"Mientras el seor Dursley daba la vuelta a la esquina y suba por la calle, observ al gato por el espejo retrovisor: en aquel momento el felino estaba leyendo el rtulo que deca Privet Drive (no poda ser, los gatos no saben leer los rtulos ni los planos).",[felino in English],[English translation]
223,feliz,Hasta los muggles como usted deberan celebrar este feliz da!,[feliz in English],[English translation]
224,fiesta,Cuando podra haber estado de fiesta?,[fiesta in English],[English translation]
225,fiestas,Debo de haber pasado por una docena de celebraciones y fiestas en mi camino hasta aqu.,[fiestas in English],[English translation]
226,fijeza,"Estaba muy ocupado revolviendo en su capa, buscando algo, pero pareci darse cuenta de que lo observaban porque, de pronto, mir al gato, que todava lo contemplaba con fijeza desde la otra punta de la calle.",[fijeza in English],[English translation]
227,fijos,"Estaba tan inmvil como una estatua, con los ojos fijos, sin pestaear, en la esquina de Privet Drive.",[fijos in English],[English translation]
228,firmeza,Es el mejor lugar para l dijo Dumbledore con firmeza.,[firmeza in English],[English translation]
229,forma,"Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantidad de gente vestida de forma extraa.",[forma in English],[English translation]
230,frase,"Mientras coman, le inform de los problemas de la seora Puerta Contigua con su hija, y le cont que Dudley haba aprendido una nueva frase (no lo har!).",[frase in English],[English translation]
231,frente,"Aument hasta ser un rugido mientras los dos miraban hacia el cielo, y entonces una pesada moto cay del aire y aterriz en el camino, frente a ellos.",[frente in English],[English translation]
232,frialdad,"No, muchas gracias respondi con frialdad la profesora McGonagall, como si considerara que aqul no era un momento apropiado para caramelos.",[frialdad in English],[English translation]
233,fruncidos,La seora Dursley bebi su t con los labios fruncidos.,[fruncidos in English],[English translation]
234,fuerte,"Se fue haciendo ms fuerte mientras ellos miraban a ambos lados de la calle, buscando alguna luz.",[fuerte in English],[English translation]
235,fugaces,"Telespectadores de lugares tan apartados como Kent, Yorkshire y Dundee han telefoneado para decirme que en lugar de la lluvia que promet ayer tuvieron un chaparrn de estrellas fugaces!",[fugaces in English],[English translation]
236,futuro,Ser famoso una leyenda no me sorprendera que el da de hoy fuera conocido en el futuro como el da de Harry Potter!,[futuro in English],[English translation]
237,gafas,"Sus ojos azules eran claros, brillantes y centelleaban detrs de unas gafas de cristales de media luna.",[gafas in English],[English translation]
238,garganta,Se aclar la garganta con nerviosismo.,[garganta in English],[English translation]
239,gato,Al llegar a la esquina percibi el primer indicio de que suceda algo raro: un gato estaba mirando un plano de la ciudad.,[gato in English],[English translation]
240,gatos,"Mientras el seor Dursley daba la vuelta a la esquina y suba por la calle, observ al gato por el espejo retrovisor: en aquel momento el felino estaba leyendo el rtulo que deca Privet Drive (no poda ser, los gatos no saben leer los rtulos ni los planos).",[gatos in English],[English translation]
241,gente,"Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantidad de gente vestida de forma extraa.",[gente in English],[English translation]
242,gigante,"Cuando regresaba con un dnut gigante en una bolsa de papel, alcanz a or unas pocas palabras de su conversacin.",[gigante in English],[English translation]
243,gracias,"No, muchas gracias respondi con frialdad la profesora McGonagall, como si considerara que aqul no era un momento apropiado para caramelos.",[gracias in English],[English translation]
244,grises,"Nuestra historia comienza cuando el seor y la seora Dursley se despertaron un martes, con un cielo cubierto de nubes grises que amenazaban tormenta.",[grises in English],[English translation]
245,grito,"Una mano pequea se cerr sobre la carta y sigui durmiendo, sin saber que era famoso, sin saber que en unas pocas horas le hara despertar el grito de la seora Dursley, cuando abriera la puerta principal para sacar las botellas de leche.",[grito in English],[English translation]
246,gritos,"Dijo a gritos a su secretaria que no quera que le molestaran, cogi el telfono y, cuando casi haba terminado de marcar los nmeros de su casa, cambi de idea.",[gritos in English],[English translation]
247,grupo,Haba olvidado a la gente con capa hasta que pas cerca de un grupo que estaba al lado de la panadera.,[grupo in English],[English translation]
248,guard,"Pero para Dumbledore deba de tener sentido, porque lo guard y dijo: Hagrid se retrasa.",[guard in English],[English translation]
249,haberlos,La luz titilante que los ojos de Dumbledore irradiaban habitualmente pareca haberlos abandonado.,[haberlos in English],[English translation]
250,habitual,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[habitual in English],[English translation]
251,haca,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[haca in English],[English translation]
252,hebillas,"Llevaba una tnica larga, una capa color prpura que barra el suelo y botas con tacn alto y hebillas.",[hebillas in English],[English translation]
253,helado,El seor Dursley se qued completamente helado.,[helado in English],[English translation]
254,herido,"Entonces, sbitamente, Hagrid dej escapar un aullido, como si fuera un perro herido.",[herido in English],[English translation]
255,hermana,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[hermana in English],[English translation]
256,hermana,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[hermana in English],[English translation]
257,hija,"Mientras coman, le inform de los problemas de la seora Puerta Contigua con su hija, y le cont que Dudley haba aprendido una nueva frase (no lo har!).",[hija in English],[English translation]
258,hijo,"Los Dursley tenan un hijo pequeo llamado Dudley, y para ellos no haba un nio mejor que l.",[hijo in English],[English translation]
259,historia,"Nuestra historia comienza cuando el seor y la seora Dursley se despertaron un martes, con un cielo cubierto de nubes grises que amenazaban tormenta.",[historia in English],[English translation]
260,hombre,"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.",[hombre in English],[English translation]
261,hombros,Los hombros de Hagrid se estremecieron.,[hombros in English],[English translation]
262,hora,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidi estirar las piernas y dirigirse a la panadera que estaba en la acera de enfrente.",[hora in English],[English translation]
263,horarios,Los expertos son incapaces de explicar la causa por la que las lechuzas han cambiado sus horarios de sueo.,[horarios in English],[English translation]
264,horas,"Una mano pequea se cerr sobre la carta y sigui durmiendo, sin saber que era famoso, sin saber que en unas pocas horas le hara despertar el grito de la seora Dursley, cuando abriera la puerta principal para sacar las botellas de leche.",[horas in English],[English translation]
265,horrible,"Un nombre vulgar y horrible, si quieres mi opinin.",[horrible in English],[English translation]
266,hucha,Aquel grupo tambin susurraba con agitacin y no llevaba ni una hucha.,[hucha in English],[English translation]
267,humor,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidi estirar las piernas y dirigirse a la panadera que estaba en la acera de enfrente.",[humor in English],[English translation]
268,idea,"Dijo a gritos a su secretaria que no quera que le molestaran, cogi el telfono y, cuando casi haba terminado de marcar los nmeros de su casa, cambi de idea.",[idea in English],[English translation]
269,idnticas,"Estaba seguro de que era el mismo, pues tena unas lneas idnticas alrededor de los ojos.",[idnticas in English],[English translation]
270,ilusin,Deba de haber sido una ilusin ptica.,[ilusin in English],[English translation]
271,imaginacin,"Se apresur a subir a su coche y a dirigirse hacia su casa, deseando que todo fueran imaginaciones suyas (algo que nunca haba deseado antes, porque no aprobaba la imaginacin).",[imaginacin in English],[English translation]
272,imaginaciones,"Se apresur a subir a su coche y a dirigirse hacia su casa, deseando que todo fueran imaginaciones suyas (algo que nunca haba deseado antes, porque no aprobaba la imaginacin).",[imaginaciones in English],[English translation]
273,impaciencia,"Oh, s, todos estaban de fiesta, de acuerdo dijo con impaciencia.",[impaciencia in English],[English translation]
274,implicados,"Su ltimo y consolador pensamiento antes de quedarse dormido fue que, aunque los Potter estuvieran implicados en los sucesos, no haba razn para que se acercaran a l y a la seora Dursley.",[implicados in English],[English translation]
275,importante,Le parece sensato confiar a Hagrid algo tan importante como eso?,[importante in English],[English translation]
276,importantes,Hizo llamadas telefnicas importantes y volvi a gritar.,[importantes in English],[English translation]
277,incapaces,Los expertos son incapaces de explicar la causa por la que las lechuzas han cambiado sus horarios de sueo.,[incapaces in English],[English translation]
278,inclinacin,"Nos veremos pronto, espero, profesora McGonagall dijo Dumbledore, saludndola con una inclinacin de cabeza.",[inclinacin in English],[English translation]
279,indicio,Al llegar a la esquina percibi el primer indicio de que suceda algo raro: un gato estaba mirando un plano de la ciudad.,[indicio in English],[English translation]
280,individuos,Individuos con capa.,[individuos in English],[English translation]
281,informativo,"Una vez que acostaron a Dudley, fue al saln a tiempo para ver el informativo de la noche.",[informativo in English],[English translation]
282,inmensa,"La moto era inmensa, pero si se la comparaba con el hombre que la conduca pareca un juguete.",[inmensa in English],[English translation]
283,inmenso,"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.",[inmenso in English],[English translation]
284,inmvil,"Estaba tan inmvil como una estatua, con los ojos fijos, sin pestaear, en la esquina de Privet Drive.",[inmvil in English],[English translation]
285,insisti,Lo que estn diciendo insisti es que la pasada noche Voldemort apareci en el valle de Godric.,[insisti in English],[English translation]
286,intensidad,"Pareca que la profesora McGonagall haba llegado al punto que ms deseosa estaba por discutir, la verdadera razn por la que haba esperado todo el da en una fra pared pues, ni como gato ni como mujer, haba mirado nunca a Dumbledore con tal intensidad como lo haca en aquel momento.",[intensidad in English],[English translation]
287,interior,Encontr en su bolsillo interior lo que estaba buscando.,[interior in English],[English translation]
288,intil,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[intil in English],[English translation]
289,intranquilo,"El seor Dursley cay en un sueo intranquilo, pero el gato que estaba sentado en la pared del jardn no mostraba seales de adormecerse.",[intranquilo in English],[English translation]
290,invadi,El temor lo invadi.,[invadi in English],[English translation]
291,irnica,El locutor se permiti una mueca irnica.,[irnica in English],[English translation]
292,irritada,Hemos tenido tan poco que celebrar durante once aos Ya lo s respondi irritada la profesora McGonagall.,[irritada in English],[English translation]
293,izquierda,Yo tengo una en la rodilla izquierda que es un diagrama perfecto del metro de Londres.,[izquierda in English],[English translation]
294,jardines,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[jardines in English],[English translation]
295,jardn,En aquel momento estaba sentado en la pared de su jardn.,[jardn in English],[English translation]
296,joven,El joven Sirius Black me la dej.,[joven in English],[English translation]
297,juguete,"La moto era inmensa, pero si se la comparaba con el hombre que la conduca pareca un juguete.",[juguete in English],[English translation]
298,juzgar,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que podra sujetarlos con el cinturn.",[juzgar in English],[English translation]
299,jvenes,"Ah, los conjuntos que llevaban los jvenes!",[jvenes in English],[English translation]
300,labios,La seora Dursley bebi su t con los labios fruncidos.,[labios in English],[English translation]
301,lados,"Se fue haciendo ms fuerte mientras ellos miraban a ambos lados de la calle, buscando alguna luz.",[lados in English],[English translation]
302,ladrillo,Usted tambin estara tieso si llevara todo el da sentado sobre una pared de ladrillo respondi la profesora McGonagall.,[ladrillo in English],[English translation]
303,larga,"Llevaba una tnica larga, una capa color prpura que barra el suelo y botas con tacn alto y hebillas.",[larga in English],[English translation]
304,largos,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que podra sujetarlos con el cinturn.",[largos in English],[English translation]
305,leche,"Una mano pequea se cerr sobre la carta y sigui durmiendo, sin saber que era famoso, sin saber que en unas pocas horas le hara despertar el grito de la seora Dursley, cuando abriera la puerta principal para sacar las botellas de leche.",[leche in English],[English translation]
306,lechuza,Ninguno vio la gran lechuza parda que pasaba volando por la ventana.,[lechuza in English],[English translation]
307,lechuzas,"No vio las lechuzas que volaban en pleno da, aunque en la calle s que las vean y las sealaban con la boca abierta, mientras las aves desfilaban una tras otra.",[lechuzas in English],[English translation]
308,lejanos,"Doce veces hizo funcionar el Apagador, hasta que las nicas luces que quedaron en toda la calle fueron dos alfileres lejanos: los ojos del gato que lo observaba.",[lejanos in English],[English translation]
309,leve,La luz ms cercana de la calle se apag con un leve estallido.,[leve in English],[English translation]
310,leyenda,Ser famoso una leyenda no me sorprendera que el da de hoy fuera conocido en el futuro como el da de Harry Potter!,[leyenda in English],[English translation]
311,lgrimas,"Hagrid se sec las lgrimas con la manga de la chaqueta, se subi a la moto y le dio una patada a la palanca para poner el motor en marcha.",[lgrimas in English],[English translation]
312,libros,Escribirn libros sobre Harry Todos los nios del mundo conocern su nombre.,[libros in English],[English translation]
313,llamada,"El seor Dursley era el director de una empresa llamada Grunnings, que fabricaba taladros.",[llamada in English],[English translation]
314,llamadas,Hizo llamadas telefnicas importantes y volvi a gritar.,[llamadas in English],[English translation]
315,llamado,"Los Dursley tenan un hijo pequeo llamado Dudley, y para ellos no haba un nio mejor que l.",[llamado in English],[English translation]
316,llegado,"Albus Dumbledore no pareca darse cuenta de que haba llegado a una calle en donde todo lo suyo, desde su nombre hasta sus botas, era mal recibido.",[llegado in English],[English translation]
317,llorique,"Lo siento llorique Hagrid, y se limpi la cara con un gran pauelo.",[llorique in English],[English translation]
318,lluvia,"Telespectadores de lugares tan apartados como Kent, Yorkshire y Dundee han telefoneado para decirme que en lugar de la lluvia que promet ayer tuvieron un chaparrn de estrellas fugaces!",[lluvia in English],[English translation]
319,lluvias,"Habr ms lluvias de lechuzas esta noche, Jim?",[lluvias in English],[English translation]
320,lluviosa,Pero puedo prometerles una noche lluviosa.,[lluviosa in English],[English translation]
321,lmpara,Lo encendi otra vez y la siguiente lmpara qued a oscuras.,[lmpara in English],[English translation]
322,lneas,"Estaba seguro de que era el mismo, pues tena unas lneas idnticas alrededor de los ojos.",[lneas in English],[English translation]
323,locutor,El locutor se permiti una mueca irnica.,[locutor in English],[English translation]
324,ltimas,"Eran las ltimas personas que se esperara encontrar relacionadas con algo extrao o misterioso, porque no estaban para tales tonteras.",[ltimas in English],[English translation]
325,ltimo,"Y, por ltimo, observadores de pjaros de todas partes han informado de que hoy las lechuzas de la nacin han tenido una conducta poco habitual.",[ltimo in English],[English translation]
326,ltimo,"Y, por ltimo, observadores de pjaros de todas partes han informado de que hoy las lechuzas de la nacin han tenido una conducta poco habitual.",[ltimo in English],[English translation]
327,luces,"Doce veces hizo funcionar el Apagador, hasta que las nicas luces que quedaron en toda la calle fueron dos alfileres lejanos: los ojos del gato que lo observaba.",[luces in English],[English translation]
328,lugar,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[lugar in English],[English translation]
329,lugares,"Telespectadores de lugares tan apartados como Kent, Yorkshire y Dundee han telefoneado para decirme que en lugar de la lluvia que promet ayer tuvieron un chaparrn de estrellas fugaces!",[lugares in English],[English translation]
330,luna,"Sus ojos azules eran claros, brillantes y centelleaban detrs de unas gafas de cristales de media luna.",[luna in English],[English translation]
331,luz,"Pese a que las lechuzas habitualmente cazan durante la noche y es muy difcil verlas a la luz del da, se han producido cientos de avisos sobre el vuelo de estas aves en todas direcciones, desde la salida del sol.",[luz in English],[English translation]
332,maana,"Si no lo hubiera hecho as, aquella maana le habra costado concentrarse en los taladros.",[maana in English],[English translation]
333,madre,"Y ese hijo que tienen Lo vi dando patadas a su madre mientras suban por la escalera, pidiendo caramelos a gritos.",[madre in English],[English translation]
334,maletn,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[maletn in English],[English translation]
335,manecillas,Tena doce manecillas y ningn nmero; pequeos planetas se movan por el permetro del crculo.,[manecillas in English],[English translation]
336,manga,"Hagrid se sec las lgrimas con la manga de la chaqueta, se subi a la moto y le dio una patada a la palanca para poner el motor en marcha.",[manga in English],[English translation]
337,mano,"Una mano pequea se cerr sobre la carta y sigui durmiendo, sin saber que era famoso, sin saber que en unas pocas horas le hara despertar el grito de la seora Dursley, cuando abriera la puerta principal para sacar las botellas de leche.",[mano in English],[English translation]
338,manos,"Sus manos tenan el mismo tamao que las tapas del cubo de la basura y sus pies, calzados con botas de cuero, parecan cras de delfn.",[manos in English],[English translation]
339,mantas,En sus enormes brazos musculosos sostena un bulto envuelto en mantas.,[mantas in English],[English translation]
340,marcha,"Hagrid se sec las lgrimas con la manga de la chaqueta, se subi a la moto y le dio una patada a la palanca para poner el motor en marcha.",[marcha in English],[English translation]
341,marido,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[marido in English],[English translation]
342,martes,"Nuestra historia comienza cuando el seor y la seora Dursley se despertaron un martes, con un cielo cubierto de nubes grises que amenazaban tormenta.",[martes in English],[English translation]
343,mata,"Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curiosa, como un relmpago.",[mata in English],[English translation]
344,matutino,"Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantidad de gente vestida de forma extraa.",[matutino in English],[English translation]
345,mayora,La mayora de aquellas personas no haba visto una lechuza ni siquiera de noche.,[mayora in English],[English translation]
346,media,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[media in English],[English translation]
347,medianoche,La verdad es que el gato no se movi hasta la medianoche.,[medianoche in English],[English translation]
348,mejilla,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[mejilla in English],[English translation]
349,mente,Pero en las afueras ocurri algo que apart los taladros de su mente.,[mente in English],[English translation]
350,meteorlogo,"Bueno, Ted dijo el meteorlogo, eso no lo s, pero no slo las lechuzas han tenido hoy una actitud extraa.",[meteorlogo in English],[English translation]
351,metro,Yo tengo una en la rodilla izquierda que es un diagrama perfecto del metro de Londres.,[metro in English],[English translation]
352,miedo,"Todos saben que usted es el nico al que Quien-usted Oh, bueno, Voldemort, tena miedo.",[miedo in English],[English translation]
353,minuto,Durante un largo minuto los tres contemplaron el pequeo bulto.,[minuto in English],[English translation]
354,minutos,"El trfico avanz y, unos minutos ms tarde, el seor Dursley lleg al aparcamiento de Grunnings, pensando nuevamente en los taladros.",[minutos in English],[English translation]
355,mir,Al pasar los mir enfadado.,[mir in English],[English translation]
356,mirada,ste le devolvi la mirada.,[mirada in English],[English translation]
357,mirado,"Si alguien hubiera mirado por la ventana en aquel momento, aunque fuera la seora Dursley con sus ojos como cuentas, pequeos y brillantes, no habra podido ver lo que suceda en la calle.",[mirado in English],[English translation]
358,misterioso,"Eran las ltimas personas que se esperara encontrar relacionadas con algo extrao o misterioso, porque no estaban para tales tonteras.",[misterioso in English],[English translation]
359,misteriosos,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[misteriosos in English],[English translation]
360,moda,Supuso que deba de ser una moda nueva.,[moda in English],[English translation]
361,modos,"Pero de todos modos, aquella gente de la capa Aquella tarde le cost concentrarse en los taladros, y cuando dej el edificio, a las cinco en punto, estaba todava tan preocupado que, sin darse cuenta, choc con un hombre que estaba en la puerta.",[modos in English],[English translation]
362,momento,"Mientras el seor Dursley daba la vuelta a la esquina y suba por la calle, observ al gato por el espejo retrovisor: en aquel momento el felino estaba leyendo el rtulo que deca Privet Drive (no poda ser, los gatos no saben leer los rtulos ni los planos).",[momento in English],[English translation]
363,montura,"En su lugar, le diriga la sonrisa a una mujer de aspecto severo que llevaba gafas de montura cuadrada, que recordaban las lneas que haba alrededor de los ojos del gato.",[montura in English],[English translation]
364,motivo,Nunca he encontrado ningn motivo para temer pronunciar el nombre de Voldemort.,[motivo in English],[English translation]
365,moto,"Aument hasta ser un rugido mientras los dos miraban hacia el cielo, y entonces una pesada moto cay del aire y aterriz en el camino, frente a ellos.",[moto in English],[English translation]
366,motor,"Hagrid se sec las lgrimas con la manga de la chaqueta, se subi a la moto y le dio una patada a la palanca para poner el motor en marcha.",[motor in English],[English translation]
367,movimiento,"Dio media vuelta y, con un movimiento de su capa, desapareci.",[movimiento in English],[English translation]
368,muchsimas,Estaba seguro de que haba muchsimas personas que se llamaban Potter y que tenan un hijo llamado Harry.,[muchsimas in English],[English translation]
369,mueca,El locutor se permiti una mueca irnica.,[mueca in English],[English translation]
370,muertos,"El rumor es que Lily y James Potter estn estn bueno, que estn muertos.",[muertos in English],[English translation]
371,muertos,"El rumor es que Lily y James Potter estn estn bueno, que estn muertos.",[muertos in English],[English translation]
372,muggle,"Y por si fuera poco le haba llamado muggle , no importaba lo que eso fuera.",[muggle in English],[English translation]
373,muggles,Hasta los muggles como usted deberan celebrar este feliz da!,[muggles in English],[English translation]
374,mujer,"En su lugar, le diriga la sonrisa a una mujer de aspecto severo que llevaba gafas de montura cuadrada, que recordaban las lneas que haba alrededor de los ojos del gato.",[mujer in English],[English translation]
375,mundo,Escribirn libros sobre Harry Todos los nios del mundo conocern su nombre.,[mundo in English],[English translation]
376,murmur,Ri entre dientes y murmur: Debera haberlo sabido.,[murmur in English],[English translation]
377,musculosos,En sus enormes brazos musculosos sostena un bulto envuelto en mantas.,[musculosos in English],[English translation]
378,nacin,"Y, por ltimo, observadores de pjaros de todas partes han informado de que hoy las lechuzas de la nacin han tenido una conducta poco habitual.",[nacin in English],[English translation]
379,nariz,"Tena una nariz muy larga y torcida, como si se la hubiera fracturado alguna vez.",[nariz in English],[English translation]
380,negro,Su cabello negro estaba recogido en un moo.,[negro in English],[English translation]
381,nerviosismo,Se aclar la garganta con nerviosismo.,[nerviosismo in English],[English translation]
382,nervioso,"No saba por qu, pero le ponan nervioso.",[nervioso in English],[English translation]
383,nica,Son la nica familia que le queda ahora.,[nica in English],[English translation]
384,nicas,"Doce veces hizo funcionar el Apagador, hasta que las nicas luces que quedaron en toda la calle fueron dos alfileres lejanos: los ojos del gato que lo observaba.",[nicas in English],[English translation]
385,nico,"Todos saben que usted es el nico al que Quien-usted Oh, bueno, Voldemort, tena miedo.",[nico in English],[English translation]
386,ningn,"S haba un gato atigrado en la esquina de Privet Drive, pero no vio ningn plano.",[ningn in English],[English translation]
387,nio,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[nio in English],[English translation]
388,nios,Escribirn libros sobre Harry Todos los nios del mundo conocern su nombre.,[nios in English],[English translation]
389,nmero,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[nmero in English],[English translation]
390,nmeros,"Dijo a gritos a su secretaria que no quera que le molestaran, cogi el telfono y, cuando casi haba terminado de marcar los nmeros de su casa, cambi de idea.",[nmeros in English],[English translation]
391,noble,Slo porque usted es demasiado bueno noble para utilizarlos.,[noble in English],[English translation]
392,noche,La mayora de aquellas personas no haba visto una lechuza ni siquiera de noche.,[noche in English],[English translation]
393,noches,"Buenas noches, profesora McGonagall, profesor Dumbledore.",[noches in English],[English translation]
394,nombre,"Un nombre vulgar y horrible, si quieres mi opinin.",[nombre in English],[English translation]
395,normal,"Sin embargo, el seor Dursley tuvo una maana perfectamente normal, sin lechuzas.",[normal in English],[English translation]
396,normales,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[normales in English],[English translation]
397,normalidad,El seor Dursley trat de comportarse con normalidad.,[normalidad in English],[English translation]
398,noticias,Hay cosas muy extraas en las noticias mascull el seor Dursley.,[noticias in English],[English translation]
399,noveno,"El seor Dursley siempre se sentaba de espaldas a la ventana, en su oficina del noveno piso.",[noveno in English],[English translation]
400,nubes,"Nuestra historia comienza cuando el seor y la seora Dursley se despertaron un martes, con un cielo cubierto de nubes grises que amenazaban tormenta.",[nubes in English],[English translation]
401,nublado,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[nublado in English],[English translation]
402,observadores,"Y, por ltimo, observadores de pjaros de todas partes han informado de que hoy las lechuzas de la nacin han tenido una conducta poco habitual.",[observadores in English],[English translation]
